pub_date	title	                                                                     venue      	excerpt	                                         citation	                                                         url_slug	                                                                                            paper_url
2017-07-08	Almost-Global Exponential Tracking of a Variable Pitch Quadrotor on SE(3)	IFAC 2017	    This paper is about Geometric control theory.    Sharvaree Vadgama. (2019).                                          "Almost-Global Exponential Tracking of a Variable Pitch Quadrotor on SE(3)." <i>IFAC 2017</i>.		http://Sharvaree.github.io/files/IFAC.pdf
2019-12-12	Greedy Sampling for Approximate Clustering in the Presence of Outliers   	NeurIPS 2019	Clustering.                          	         Sharvaree Vadgama. (2017).                                         "Greedy Sampling for Approximate Clustering in the Presence of Outliers." <i>NeurIPS 2019</i>.	    http://Sharvaree.github.io/files/Clustering_neurips.pdf
2015-10-01	Paper Title Number 3	                                                    Journal 1       The number 4 is left for future work.	         Your Name, You. (2015).                                             "Paper Title Number 3." <i>Journal 1</i>. 1(3).	paper-title-number-3.	                                                                    https://Sharvaree.github.io/files/paper3.pdf
